Filière de formation détaillée,Effectif total des candidats pour la formation,En Phase Principale,Dont Bac Tech,En Phase Complémentaire,Dont Bac Tech,Dont Bac Pro,Dont Bac Pro,Dont Bac G,Dont Bac G,Dont Néo Bac,En Phase Principale,En Phase Complémentaire,Nb Max Admis,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F,Dont F
"Développement, animation des territoires ruraux",3496,3123,697,360,59,1326,147,282,28,465,466,79,805,29,324,112,2218,397
Diététique,22831,21810,6912,1018,174,1379,102,6123,105,544,879,163,2216,218,41,285,18740,885
Diplôme de Comptabilité et de Gestion,43187,40665,9374,2509,402,621,185,21377,592,2560,2885,187,3642,1848,4,708,20384,1555
Diplôme des métiers d'arts,203,202,27,1,0,43,0,73,0,15,26,0,30,11,4,0,119,17
Diplôme d'état d'Assistant de service social,569,219,39,350,61,24,99,68,21,13,38,6,96,7,1,5,492,41
Diplôme d'état de manipulateur/trice en électroradiologie médicale,12990,12871,3618,119,12,315,1,3559,18,337,654,9,653,178,1,158,10231,539
Diplôme d'Etat de Technicien de Laboratoire Médical,284,244,54,40,6,6,1,109,3,43,54,0,64,32,0,11,218,42
Diplôme d'état d'Educateur de Jeunes Enfants,187,183,32,4,0,9,1,38,0,13,41,0,47,7,1,5,174,41
Diplôme d'état d'Educateur Spécialisé,289,261,59,28,1,31,11,71,3,13,33,0,43,8,2,3,234,28
Diplôme d'état d'Educateurs Techniques Spécialisés,507,382,100,125,18,83,43,101,17,5,11,1,59,3,1,1,407,9
Diplôme d'Ostéopathe,337,323,27,14,0,7,1,204,0,5,5,0,10,5,0,0,203,4
Diplôme d'université Collège de droit de la Sorbonne 1ère année,622,583,31,39,4,14,6,463,15,47,48,1,60,47,0,0,429,35
Droit,259287,241927,16151,17299,2443,2920,1227,190926,5022,33841,36329,4711,46446,29236,1080,3525,183168,28739
Droit français - Droit étranger,3510,3270,93,239,37,11,26,2811,63,306,343,20,386,300,1,5,2674,276
DTS Imagerie médicale et radiologie thérapeutique,18262,17649,6270,612,66,585,41,4969,88,530,745,32,790,237,0,293,14366,633
DU informatique,166,92,18,74,16,6,8,47,21,3,5,1,45,3,0,0,29,0
DU PAREO,481,312,78,167,41,33,0,141,60,80,73,33,125,47,13,20,242,54
DU préparant au BTS Opticien - Lunetier,135,111,17,24,3,8,6,62,4,6,8,1,35,6,0,0,84,4
DU Préparation à l'enseignement supérieur,108,57,9,51,8,26,19,10,6,6,3,5,12,0,6,0,63,5
DU Web Design et mutation numérique du journalisme (SupMédiaWeb),112,93,19,19,1,4,2,56,7,13,16,4,30,8,2,3,61,11
