Filière de formation très agrégée,Filière de formation,Filière de formation détaillée,Effectif total des candidats pour la formation,Dont F,En Phase Principale,Dont Bac G,Dont Bac Tech,Dont Bac Pro,En Phase Complémentaire,Dont Bac G,Dont Bac Tech,Dont Bac Pro,Nb Max Admis,En Phase Principale,En Phase Complémentaire,Dont Néo Bac,Dont Bac G,Dont Bac Pro,Donc Bac Tech,Dont F
BTS,BTS - Production,Conception et industrialisation en construction navale,505,43,505,111,200,91,0,0,0,0,22,22,0,16,5,4,7,5
BTS,BTS - Production,Conception et industrialisation en microtechniques,4374,280,4147,512,1768,1280,220,15,98,26,645,494,34,483,45,198,240,34
BTS,BTS - Production,Conception et réalisation de carrosseries,1164,60,1143,107,402,420,21,1,5,0,148,106,5,99,1,69,29,7
BTS,BTS - Production,Conception et Réalisation de Systèmes Automatiques,17026,770,16376,1480,6840,5695,630,44,190,156,2357,1888,91,1819,109,903,807,67
BTS,BTS - Production,Conception et réalisation en chaudronnerie industrielle,3526,115,3464,187,925,1876,62,3,13,23,567,483,4,464,28,329,107,21
BTS,BTS - Production,Contrôle industriel et régulation automatique,4760,468,4338,504,1868,999,418,35,103,117,717,522,65,485,70,138,277,54
Autre formation,Année préparatoire,CPESIP (Cycle préparatoire aux Etudes Supérieures et à l'Insertion Professionnelle),1308,858,1088,126,408,454,219,20,39,85,240,108,55,154,1,147,6,99
Autre formation,"CUPGE - Sciences, technologie, santé",Cursus préparatoire aux concours des grandes écoles d'ingénieurs,1377,517,1306,928,46,11,71,19,2,6,30,13,10,13,13,0,0,7
Autre formation,CPES,Cycle pluridisciplinaire d?'enseignement supérieur - Humanités,931,699,931,813,5,4,0,0,0,0,40,40,0,38,38,0,0,35
Autre formation,CPES,Cycle pluridisciplinaire d'enseignement supérieur - Sciences,933,483,933,813,14,3,0,0,0,0,45,45,0,45,45,0,0,26
Autre formation,CPES,Cycle pluridisciplinaire d'enseignement supérieur - SESJ,1645,1069,1645,1495,4,6,0,0,0,0,65,65,0,63,63,0,0,46
Autre formation,CUPGE - Sciences humaines et sociales,Cycle préparatoire aux concours des Instituts d'Etudes Politiques de province (Camille Saint Saëns),830,543,830,782,8,1,0,0,0,0,40,45,0,45,45,0,0,37
Autre formation,CUPGE - Sciences humaines et sociales,Cycle préparatoire aux concours des Instituts d'Etudes Politiques de province (Val de Seine),521,326,521,486,6,2,0,0,0,0,32,41,0,41,41,0,0,26
Autre formation,"CUPGE - Sciences, technologie, santé",Cycle préparatoire aux écoles d'ingénieurs,3632,1385,3616,2880,0,0,16,0,0,0,75,65,0,51,51,0,0,25
Autre formation,Formations d'ingénieurs,Cycle préparatoire informatique,98,5,81,59,14,0,17,11,2,0,36,19,5,23,18,0,5,1
